bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_318,"Sackville Street, Mayfair",51.510048,-0.138846,0,18,18,True,False
BikePoints_319,"Baldwin Street, St. Luke's",51.527025,-0.088542,17,1,21,True,False
BikePoints_320,"Queen Mother Sports Centre, Victoria",51.493573,-0.139956,18,4,26,True,False
BikePoints_321,"Bermondsey Street, Bermondsey",51.497855,-0.081608,18,5,24,True,False
BikePoints_322,"Palissy Street, Shoreditch",51.526293,-0.073955,24,2,26,True,False
BikePoints_323,"Clifton Street, Shoreditch",51.523196,-0.083067,6,16,24,True,False
BikePoints_324,"Ontario Street, Elephant & Castle",51.49652,-0.101384,13,1,15,True,False
BikePoints_325,"St. Martin's Street, West End",51.509087,-0.129697,13,4,18,True,False
BikePoints_326,"Graham Street, Angel",51.532661,-0.099981,19,3,26,True,False
BikePoints_327,"Westbourne Green, Westbourne",51.522168,-0.192814,9,9,21,True,False
BikePoints_328,"New North Road 2, Hoxton",51.53114,-0.086016,20,0,22,True,False
BikePoints_329,"Prince Albert Road, The Regent's Park",51.535892,-0.160854,10,11,24,True,False
BikePoints_330,"Eastbourne Mews, Paddington",51.516417,-0.179135,9,19,34,True,False
BikePoints_331,"Bunhill Row, Moorgate",51.520858,-0.089887,5,23,30,True,False
BikePoints_332,"Nevern Place, Earl's Court",51.493343,-0.194757,5,15,20,True,False
BikePoints_333,"Palace Gardens Terrace, Notting Hill",51.508605,-0.193764,10,23,37,True,False
BikePoints_336,"Concert Hall Approach, South Bank",51.504841,-0.115153,23,3,30,True,False
